Room Number,Name,VIP,Arrival,Nights,Adults/Children,Room Type,Rate Plan,Travel Agent,Market,Preferences,Owner
301,"Coles, Emma, Ms ",,16/11/2025 22:35,31,2/0,KGDX,HB,,CORP,,
,,,,,,,,,,,
,28010,,17/12/2025,IH,,KGDX,800.00EUR,,CRO,"BFC, HB",
,,,,,,,,,,"NUTA,FRT2,LACT",
,,,HOLD,,,,0.00EUR,Tui Group,SAL,,
,,,,,,,,,,,
,,,,,,,,"24,800.00EUR",,,
507,"Lejeune, Patricia, Mrs ",,29/11/2025 14:30,10,1/0,TWDX,OPQ,Exxon Mobil,CORN,,
,,,,,,,,,,,
,27919,,09/12/2025 10:15,IH,,TWDX,490.00EUR,,OTH,BFC,
,,,,,,,,,,BAL2,
,5006309,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"4,900.00EUR",,,
510,"Jónasdóttir, Barbara, Ms ",,30/11/2025 08:13,9,1/0,KGSP,BAR10,Bayerische Motoren Werke (BMW),CORL,,
,,,,,,,,,,,
,28584,,09/12/2025 18:00,IH,,KGSP,631.20EUR,,HOT,BFE,
,,,,,,,,,,,
,5006826,,HOLD,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"6,000.80EUR",,,
219,"Mancini, Lionello, Mr ",,30/11/2025 08:12,10,1/0,TWDX,BAR10,Volkswagen AG,PRMF,,
,,,,,,,,,,,
,28532,,10/12/2025 21:30,IH,,TWDX,631.20EUR,,GDS,BFE,
,,,,,,,,,,,
,5007056,,HOLD,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"6,632.00EUR",,,
207,"Barsukova, Marina, Dear Dr ",,01/12/2025 16:47,10,1/0,TWDX,DAY,Exxon Mobil,PRMF,,
,,,,,,,,,,,
,28296,,11/12/2025 07:30,IH,,TWDX,399.00EUR,,GDS,,
,,,,,,,,,,,
,5006916,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"3,990.00EUR",,,
820,"Chumleigh, Ashley, Mrs ",EXE,01/12/2025 16:47,10,1/0,TCDX,BAREX,,PRMF,,
,,,,,,,,,,,
,28726,,11/12/2025 08:00,IH,,TCDX,830.00EUR,,IBE,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5006885,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"8,300.00EUR",,,
818,"Melikov, Mali, Ms ",,01/12/2025 16:47,9,2/0,KCDX,BAREX,,PRMF,,
,,,,,,,,,,,
,28411,,10/12/2025 19:00,IH,,KCDX,810.00EUR,,HOT,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5006704,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"7,290.00EUR",,,
121,"Moench, Laura, Mrs ",,01/12/2025 14:20,8,1/0,KGDX,BAR00,Amazon Switzerland,CORG,LF,
,,,,,,,,,,,
,27721,,09/12/2025 12:30,IH,,KGDX,889.00EUR,,OTH,,
,,,,,,,,,,,
,5006122,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"6,723.00EUR",,,
306,"Grímsdóttir, Ásdís, Mrs ",,02/12/2025 07:58,10,1/0,TWDX,OTA1,Telefonica,CORG,UPGR,
,,,,,,,,,,,
,28345,,12/12/2025 06:45,IH,,TWDX,670.00EUR,,SYN,,
,,,,,,,,,,,
,5006974,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"7,040.00EUR",,,
412,"Masaev, Nurset, Mrs ",,02/12/2025 07:58,7,2/0,TWSP,CORL25,Berkshire Hathaway,PRMF,,
,,,,,,,,,,,
,28508,,09/12/2025 18:00,IH,,TWSP,679.00EUR,,HOT,"CRE25, DRI",
,,,,,,,,,,,
,5006668,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"4,753.00EUR",,,
515,"Sultygov, Bakar, Mr ",,02/12/2025 07:58,7,2/0,KGST,BAR00,Amazon Switzerland,FIT1,QUI,
,,,,,,,,,,,
,28143,,09/12/2025 11:00,IH,,KGST,989.00EUR,,HOT,,
,,,,,,,,,,,
,5006548,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"7,523.00EUR",,,
308,"Bergmann, Gabriele, Mrs ",,03/12/2025 17:48,7,2/0,KGSP,RACK,Accenture,CORN,,
,,,,,,,,,,,
,28706,,10/12/2025 17:45,IH,"A/ Laura, Bergmann ",KGSP,889.00EUR,,SYN,TVIN,
,,,,,,,,,,"KING,UPGR,PRECHECKIN",
,5007079,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,VAC,"6,279.00EUR",,,
303,"Biryukova, Yuna, Mrs ",,03/12/2025 17:48,8,1/0,KGDX,BAR00,Accenture,PRMF,UPGR,
,,,,,,,,,,,
,27961,,11/12/2025 18:30,IH,,KGDX,889.00EUR,,CRS,,
,,,,,,,,,,,
,5006371,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"6,812.00EUR",,,
511,"Barrientos, Daisi, Ms ",,04/12/2025 14:01,5,1/0,TWSP,CORL25,,CORN,,
,,,,,,,,,,,
,27712,,09/12/2025 15:00,IH,,TWSP,679.00EUR,,IBE,"CRE25, DRI",
,,,,,,,,,,LF,
,5006144,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"3,395.00EUR",,,
604,"Hólmsteinsson, Heiðar, Mr ",,04/12/2025 12:31,6,1/0,KGDX,BAR10,Banco Bilbao Vizcaya,CORL,,
,,,,,,,,,,,
,28515,,10/12/2025 10:15,IH,,KGDX,711.20EUR,,SIT,BFE,
,,,,,,,,,,,
,5006837,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"4,187.20EUR",,,
814,"Metzger, Peter, Mr ",,04/12/2025 12:31,6,1/0,KCST,BAREX,,CORG,,
,,,,,,,,,,,
,28309,,10/12/2025 12:15,IH,,KCST,"1,230.00EUR",,IBE,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5006866,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,VAC,"7,380.00EUR",,,
715,"Pawlak, Miłosław, Mr ",,04/12/2025 13:48,8,02-Jan,A1KB,OPQ,,CORN,,
,,,,,,,,,,,
,27719,,12/12/2025 10:30,IH,,A1KB,"1,120.00EUR",,HOT,BFC,
,,,,,,,,,,CON,
,5006131,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"8,960.00EUR",,,
607,"Pfeiffer, Swen, Mr ",,04/12/2025 12:31,10,2/0,TWDX,DAY,Deloitte,CORG,SM,TM
,,,,,,,,,,,
,28476,,14/12/2025 11:30,IH,,TWDX,399.00EUR,,SIT,,
,,,,,,,,,,,
,5006952,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"3,990.00EUR",,,
710,"Sigtryggsdóttir, Þórhildur, Ms ",,04/12/2025 12:31,10,2/0,KINGR,CORL25,,FIT1,,
,,,,,,,,,,,
,28483,,14/12/2025 06:00,IH,,KINGR,679.00EUR,,HOT,"CRE25, DRI",
,,,,,,,,,,SPAB,
,5006993,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"6,790.00EUR",,,
401,"Bach, Matthias, Mr ",,05/12/2025 15:34,5,2/0,KGDX,RACK,Rolex AG,PRMF,BAL,
,,,,,,,,,,,
,27958,,10/12/2025 19:00,IH,,KGDX,889.00EUR,,OTH,,
,,,,,,,,,,,
,5006350,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"4,445.00EUR",,,
123,"Curmi, Nate, Mr ",,05/12/2025 15:34,6,2/0,KGDX,OPQ,Siemens Gamesa,FIT1,,
,,,,,,,,,,,
,28116,,11/12/2025 15:30,IH,,KGDX,490.00EUR,,IBE,BFC,
,,,,,,,,,,,
,5006497,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"2,940.00EUR",,,
211,"Ferguson, Joe, Mr ",,05/12/2025 15:34,8,2/0,TWSP,BAR10,Siemens Gamesa,FIT1,,
,,,,,,,,,,,
,27959,,13/12/2025 10:00,IH,,TWSP,631.20EUR,,OTH,BFE,
,,,,,,,,,,LUG,
,5006316,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"5,529.60EUR",,,
107,"Kadyrov, Kurzhan, Mrs ",,05/12/2025 15:34,5,1/0,TWDX,WEL,ABN Amro HQ,CORL,,TM
